                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9979,                0.61667,                      1,                 0.9821,             0.00023351,             0.00023351,             0.00023351
                      2,                0.77969,                0.71667,                      1,                0.91732,             0.00046217,             0.00046217,             0.00046217
                      3,                0.62252,                0.78889,                      1,                0.86491,             0.00068141,             0.00068141,             0.00068141
                      4,                0.50328,                0.78889,                      1,                0.81327,             0.00067159,             0.00067159,             0.00067159
                      5,                0.50057,                0.79444,                      1,                0.76949,             0.00067159,             0.00067159,             0.00067159
                      6,                0.33668,                0.82222,                      1,                0.73381,             0.00065745,             0.00065745,             0.00065745
                      7,                0.37207,                    0.8,                      1,                 0.7983,             0.00064331,             0.00064331,             0.00064331
                      8,                0.37365,                0.74444,                      1,                0.79985,             0.00062918,             0.00062918,             0.00062918
                      9,                0.31783,                0.82778,                      1,                0.75098,             0.00061504,             0.00061504,             0.00061504
                     10,                 0.3231,                0.73333,                      1,                0.82629,              0.0006009,              0.0006009,              0.0006009
                     11,                0.32288,                0.78889,                      1,                 0.7583,             0.00058677,             0.00058677,             0.00058677
                     12,                0.25281,                0.78889,                      1,                0.77059,             0.00057263,             0.00057263,             0.00057263
                     13,                0.35532,                0.78889,                      1,                0.79061,             0.00055849,             0.00055849,             0.00055849
                     14,                0.25019,                0.76667,                      1,                 0.7572,             0.00054435,             0.00054435,             0.00054435
                     15,                0.20636,                0.79444,                      1,                0.76416,             0.00053022,             0.00053022,             0.00053022
                     16,                 0.2063,                0.79444,                      1,                0.75216,             0.00051608,             0.00051608,             0.00051608
                     17,                0.19649,                0.80556,                      1,                0.75724,             0.00050194,             0.00050194,             0.00050194
                     18,                0.20996,                0.81667,                      1,                0.75977,              0.0004878,              0.0004878,              0.0004878
                     19,                0.20288,                0.78889,                      1,                0.78597,             0.00047367,             0.00047367,             0.00047367
                     20,                0.21309,                0.76667,                      1,                0.80404,             0.00045953,             0.00045953,             0.00045953
                     21,                0.14619,                0.77778,                      1,                0.76746,             0.00044539,             0.00044539,             0.00044539
                     22,                0.18033,                0.80556,                      1,                0.77181,             0.00043126,             0.00043126,             0.00043126
                     23,                0.16383,                0.77222,                      1,                0.78939,             0.00041712,             0.00041712,             0.00041712
                     24,                0.17355,                0.79444,                      1,                0.74076,             0.00040298,             0.00040298,             0.00040298
                     25,                0.12077,                0.78333,                      1,                0.76534,             0.00038884,             0.00038884,             0.00038884
                     26,                0.12412,                0.79444,                      1,                 0.7629,             0.00037471,             0.00037471,             0.00037471
                     27,                 0.1159,                0.80556,                      1,                0.77157,             0.00036057,             0.00036057,             0.00036057
                     28,                 0.1072,                0.77222,                      1,                0.77698,             0.00034643,             0.00034643,             0.00034643
                     29,                0.12508,                0.78889,                      1,                 0.7701,              0.0003323,              0.0003323,              0.0003323
                     30,                0.13242,                0.75556,                      1,                0.77348,             0.00031816,             0.00031816,             0.00031816
                     31,                0.09424,                0.77778,                      1,                0.77445,             0.00030402,             0.00030402,             0.00030402
                     32,                0.10677,                0.75556,                      1,                0.76603,             0.00028988,             0.00028988,             0.00028988
                     33,                0.09903,                0.78889,                      1,                0.74866,             0.00027575,             0.00027575,             0.00027575
                     34,                  0.096,                    0.8,                      1,                 0.7417,             0.00026161,             0.00026161,             0.00026161
                     35,                 0.0979,                0.78333,                      1,                0.77319,             0.00024747,             0.00024747,             0.00024747
                     36,                0.08192,                0.79444,                      1,                0.73877,             0.00023334,             0.00023334,             0.00023334
                     37,                 0.1407,                    0.8,                      1,                0.73682,              0.0002192,              0.0002192,              0.0002192
                     38,                0.08279,                0.81667,                      1,                0.73226,             0.00020506,             0.00020506,             0.00020506
                     39,                0.07029,                0.80556,                      1,                0.75431,             0.00019092,             0.00019092,             0.00019092
                     40,                0.12349,                0.78889,                      1,                 0.7467,             0.00017679,             0.00017679,             0.00017679
                     41,                0.09144,                    0.8,                      1,                0.76994,             0.00016265,             0.00016265,             0.00016265
                     42,                 0.1009,                0.78889,                      1,                0.78394,             0.00014851,             0.00014851,             0.00014851
                     43,                0.12833,                0.77778,                      1,                0.78894,             0.00013437,             0.00013437,             0.00013437
                     44,                0.12239,                0.78333,                      1,                0.76054,             0.00012024,             0.00012024,             0.00012024
                     45,                 0.0456,                0.79444,                      1,                0.74992,              0.0001061,              0.0001061,              0.0001061
                     46,                0.07667,                0.79444,                      1,                0.76086,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.06262,                0.78333,                      1,                0.77429,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.07165,                0.79444,                      1,                 0.7749,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 0.0696,                0.79444,                      1,                0.76298,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.05509,                0.78889,                      1,                0.76139,             3.5414e-05,             3.5414e-05,             3.5414e-05
